Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2021;43.899.877;240.878.225;515.837.748;700.065.267;-41.784.445;658.280.822;8.341.358;406.793;131.188;-220.390;8.658.949;293.995.939;120.803.710;107.659.412;1.990.014.682;131.188;1.989.883.494
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2021;18.049.934;523.904.806;346.470.013;704.162.487;-42.301.950;661.860.537;74.736;316.561;110.326;-2.638;498.985;241.265.383;89.911.106;37.618.536;1.919.579.299;110.326;1.919.468.973
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;12/2021;12.349.968;130.721.139;269.679.945;856.315.532;-38.138.725;818.176.807;0;0;0;0;0;93.462.708;107.453.419;17.049.568;1.448.893.554;0;1.448.893.554
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2021;20.370.875;83.066.568;412.406.146;509.571.139;-42.228.878;467.342.261;35.320;4.863.081;1.614.810;-57.535;6.455.675;246.047.557;105.797.321;84.661.558;1.426.147.962;1.614.810;1.424.533.152
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2021;16.418.728;33.629.319;272.583.097;383.607.805;-25.436.140;358.171.666;4.481;4.949.801;2.259.545;-27.396;7.186.431;196.025.109;89.798.930;23.385.297;997.198.577;2.259.545;994.939.032
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2021;433.135;91.027.118;114.024.342;269.361.824;-18.030.521;251.331.303;0;0;0;0;0;22.137.632;176.304.247;118.944.945;774.202.721;0;774.202.721
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2021;3.335.647;55.602.368;136.992.431;93.637.794;-3.237.012;90.400.782;0;0;0;0;0;56.819.980;14.284.160;16.727.756;374.163.125;0;374.163.125
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2021;1.838.671;4.370.676;74.151.405;87.798.296;-3.439.548;84.358.748;11.450;1.372.699;466.961;-5.588;1.845.522;30.956.219;31.227.918;7.354.559;236.103.719;466.961;235.636.758
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2021;1.151.484;22.781.582;49.730.447;12.786.411;-106.735;12.679.676;105;37.937;15.317;-1.141;52.218;40.006.253;6.878.080;455.841;133.735.580;15.317;133.720.263
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2021;241.838;6.667.632;38.513.790;57.159.832;-4.316.102;52.843.730;100;54.676;6.037;-219;60.594;16.533.030;2.551.679;2.822.586;120.234.880;6.037;120.228.843
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;12/2021;37.149;55.196.104;35.290.329;2.704.149;-141.828;2.562.321;0;0;0;0;0;15.787.712;244.239;74.168;109.192.022;0;109.192.022
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;12/2021;1.464.621;5.843.792;38.968.912;37.910.306;-2.491.660;35.418.645;12;41.541;27.001;-4.709;63.845;7.761.064;11.345.849;3.275.894;104.142.622;27.001;104.115.621
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;I;2;SAO PAULO;SP;12/2021;425.129;1.312.242;24.093.317;0;0;0;0;0;0;0;0;895.239;73.571.485;1.298.996;101.596.407;0;101.596.407
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;12/2021;66.323;7.054;7.546.876;0;0;0;0;0;0;0;0;3.030.964;78.981.929;9.013.545;98.646.690;0;98.646.690
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2021;948.732;15.474.338;51.844.931;10.202.554;-6.272;10.196.281;0;0;0;0;0;9.269.957;3.780.860;683.311;92.198.411;0;92.198.411
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;12/2021;523.440;5.767.144;8.453.102;17.339.331;-21.179;17.318.153;0;0;0;0;0;6.444.283;44.454.189;157.473;83.117.785;0;83.117.785
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;12/2021;39.882;9.162.333;22.039.487;8.697.369;-139.351;8.558.018;0;0;0;0;0;8.375.403;27.045.660;386.889;75.607.672;0;75.607.672
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;12/2021;665.682;2.838.717;22.500.690;10.264.618;-541.654;9.722.964;0;0;0;0;0;37.965.677;224.712;265.272;74.183.714;0;74.183.714
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;12/2021;311.969;3.310.566;10.516.869;27.583.232;-1.425.902;26.157.330;31.760;2.084.300;302.394;-16.310;2.402.144;18.611.402;598.270;1.010.319;62.918.870;302.394;62.616.476
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;12/2021;136.166;4.299.043;35.354.641;15.087.271;-766.694;14.320.577;0;0;0;0;0;5.009.777;918.468;263.363;60.302.034;0;60.302.034
GETNET ADQUIRÊNCIA E SERVIÇOS PARA MEIOS DE PAGAMENTO S.A.;10440482;n4;S1;I;3;SAO PAULO;SP;12/2021;605.413;0;1.394.840;0;0;0;0;0;0;0;0;2.654.870;52.714.930;948.913;58.318.966;0;58.318.966
NUBANK;52058;n1;S4;C;2;SAO PAULO;SP;12/2021;12.680;1.875.891;25.832.988;10.599.559;-1.032.379;9.567.180;0;0;0;0;0;7.764.052;6.639.577;1.459.110;53.151.478;0;53.151.478
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18236120;n4;S4;I;2;SAO PAULO;SP;12/2021;270.856;5.845.923;11.463.793;0;0;0;0;0;0;0;0;28.361.298;1.190.839;4.302.462;51.435.170;0;51.435.170
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;12/2021;731.091;3.057.021;14.160.307;19.225.770;-386.865;18.838.905;0;0;0;0;0;10.519.841;269.160;721.485;48.297.811;0;48.297.811
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;12/2021;428.471;5.492.026;6.011.135;23.644.990;-980.716;22.664.274;0;0;0;0;0;11.486.896;70.882;43.390;46.197.076;0;46.197.076
CREDIT SUISSE;30771;b1;S3;C;3;SAO PAULO;SP;12/2021;232.427;14.888.689;13.268.562;9.699.874;-53.256;9.646.618;0;0;0;0;0;5.754.529;5.360;673.538;44.469.724;0;44.469.724
INTER;51884;b1;S3;C;2;BELO HORIZONTE;MG;12/2021;464.492;1.775.549;13.094.942;10.806.033;-415.706;10.390.327;0;0;0;0;0;7.053.842;3.032.175;684.592;36.495.919;0;36.495.919
CREDIT AGRICOLE;51066;b1;S3;C;3;SAO PAULO;SP;12/2021;30.443;3.972.273;4.048.798;1.410.076;-28.633;1.381.443;0;0;0;0;0;25.975.985;2.389;19.371;35.430.701;0;35.430.701
BMG;30290;b1;S3;C;2;SAO PAULO;SP;12/2021;349.675;88.891;12.262.124;15.351.383;-846.105;14.505.278;0;0;0;0;0;5.454.017;414.696;1.323.857;34.398.538;0;34.398.538
BANESTES;30159;b1;S3;C;1;VITORIA;ES;12/2021;254.662;12.265.363;13.367.127;5.986.076;-267.891;5.718.185;0;862;642;-1;1.503;952.135;1.024.125;348.850;33.931.950;642;33.931.307
STONE PAGAMENTOS S.A.;16501555;n4;S5;I;2;SAO PAULO;SP;12/2021;239.706;10.158;7.195.134;0;0;0;0;0;0;0;0;978.823;19.725.332;4.370.972;32.520.124;0;32.520.124
BRB;31976;b1;S3;C;1;BRASILIA;DF;12/2021;161.496;577.847;5.731.597;20.777.288;-898.505;19.878.783;0;0;0;0;0;1.910.188;1.082.815;1.198.434;30.541.161;0;30.541.161
BOFA MERRILL LYNCH;51255;b1;S3;C;3;SAO PAULO;SP;12/2021;146.770;14.727.975;10.649.013;784.201;-661;783.540;0;0;0;0;0;3.568.692;366.704;35.535;30.278.228;0;30.278.228
BANCO VOLKSWAGEN S.A.;59109165;b2;S3;I;3;SAO PAULO;SP;12/2021;111;1.477.133;328.900;23.395.160;-696.081;22.699.079;171;48.785;15.158;-8.274;55.839;2.889.395;91.814;401.452;27.943.724;15.158;27.928.566
BANCO MUFG BRASIL S.A.;60498557;b1;S3;I;3;SAO PAULO;SP;12/2021;174.067;3.933.742;2.991.417;1.845.293;-3.909;1.841.384;0;0;0;0;0;17.808.052;14.159;34.249;26.797.071;0;26.797.071
BANCO DA AMAZONIA S.A.;4902979;b1;S3;I;1;BELEM;PA;12/2021;75.723;1.930.801;10.631.360;11.224.831;-363.093;10.861.739;0;0;0;0;0;1.684.931;526.770;241.162;25.952.485;0;25.952.485
PAGSEGURO INTERNET S.A.;8561701;n4;S4;I;2;SAO PAULO;SP;12/2021;60.312;20.012;2.005.792;0;0;0;0;0;0;0;0;1.997.171;13.064.173;7.229.296;24.376.755;0;24.376.755
C6 BANK;52072;b1;S4;C;2;SAO PAULO;SP;12/2021;400.764;189.867;5.646.243;10.305.134;-530.654;9.774.480;0;0;0;0;0;6.339.739;1.484.203;310.193;24.145.490;0;24.145.490
SOCIETE GENERALE;31859;b1;S3;C;3;SAO PAULO;SP;12/2021;178.504;3.649.285;1.450.242;327.781;-5.731;322.050;389;244.219;31.152;-12.404;263.356;17.632.937;2.155;3.749;23.502.278;31.152;23.471.126
ORIGINAL;51781;b1;S3;C;2;SAO PAULO;SP;12/2021;41.050;580.786;6.858.675;9.093.207;-702.060;8.391.147;0;0;0;0;0;4.863.113;874.804;752.406;22.361.982;0;22.361.982
ALFA;51293;b1;S3;C;2;SAO PAULO;SP;12/2021;63.399;229.435;7.869.691;10.159.023;-146.532;10.012.490;1.602;932.101;298.822;-5.206;1.227.319;2.618.356;148.043;387.442;22.556.176;298.822;22.257.354
MORGAN STANLEY;51413;b1;S3;C;3;SAO PAULO;SP;12/2021;18.798;7.013.876;13.210.567;0;0;0;0;0;0;0;0;1.887.550;61;109.133;22.239.984;0;22.239.984
BANCO HSBC S.A.;53518684;b1;S4;I;3;SAO PAULO;SP;12/2021;94.018;2.800.008;3.726.947;865.760;-19.791;845.970;0;0;0;0;0;11.821.751;3.686;80.215;19.372.595;0;19.372.595
GOLDMAN SACHS;51585;b2;S3;C;3;SAO PAULO;SP;12/2021;3.665;3.012.182;13.606.290;109.197;0;109.197;0;0;0;0;0;2.020.565;1.302;15.404;18.768.605;0;18.768.605
CCB;32119;b1;S3;C;3;SAO PAULO;SP;12/2021;348.161;1.503.597;4.102.583;9.065.934;-371.508;8.694.427;0;93.843;23.231;-5.254;111.820;3.424.580;118.543;21.979;18.325.689;23.231;18.302.459
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;S3;I;1;PORTO ALEGRE;RS;12/2021;7.005;0;2.870.017;13.909.459;-342.997;13.566.461;0;0;0;0;0;470.772;165.654;58.558;17.138.466;0;17.138.466
BANCO CLASSICO S.A.;31597552;b1;S3;I;2;RIO DE JANEIRO;RJ;12/2021;444;1.530.359;13.952.329;0;0;0;0;0;0;0;0;113.734;5;340.372;15.937.242;0;15.937.242
PINE;50304;b1;S3;C;2;SAO PAULO;SP;12/2021;222.709;93.012;8.639.336;3.675.546;-223.181;3.452.365;0;0;0;0;0;1.900.219;346.898;712.593;15.367.133;0;15.367.133
MERCEDES-BENZ;51262;b2;S3;C;3;SAO BERNARDO DO CAMPO;SP;12/2021;115.490;42.215;308.950;13.105.252;-599.231;12.506.020;1.556;125.141;7.690;-5.645;128.742;1.982.192;14.361;11.356;15.109.326;7.690;15.101.636
BOCOM;52003;b1;S3;C;3;SALVADOR;BA;12/2021;972.602;411.081;5.235.978;7.258.896;-48.691;7.210.205;0;0;0;0;0;790.179;18.123;215.146;14.853.313;0;14.853.313
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;S3;I;3;CURITIBA;PR;12/2021;2.194;599.257;107.318;11.249.517;-528.274;10.721.242;49;52.373;11.875;-241;64.057;2.891.620;18.230;10.881;14.414.798;11.875;14.402.922
SCOTIABANK;52230;b1;S4;C;3;SAO PAULO;SP;12/2021;11.919;7.643.337;2.114.105;1.762.795;-983;1.761.812;0;0;0;0;0;2.657.326;1.326;15.292;14.205.118;0;14.205.118
BANCO CSF S.A.;8357240;b2;S3;I;3;SAO PAULO;SP;12/2021;10.278;0;496.740;4.333.983;-1.499.782;2.834.202;0;0;0;0;0;9.863.708;102.271;866.879;14.174.079;0;14.174.079
