Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;09/2020;20.775.587;217.457;6.998.598;-2.186.131;357.670;442.300;26.605.482;-10.479.888;-3.539.835;-71.995;0;-6.675.950;-20.767.669;5.837.813;5.891.654;3.045.635;-4.706.249;-5.517.935;-1.200.510;2.879.842;5.945.192;-7.270.564;-932.936;4.904.878;63.749;4.968.626;1.270.332;-1.729.484;4.509.475;0
BB;49906;b1;S1;C;1;BRASILIA;DF;09/2020;20.083.001;22.460;5.399.284;529.743;0;304.027;26.338.516;-8.425.810;-5.097.318;-15.703;-355.520;-6.623.202;-20.517.554;5.820.961;3.334.287;2.550.678;-5.481.599;-2.970.415;-973.402;1.778.055;2.235.465;-3.054.643;-2.581.574;3.239.387;-834;3.238.553;266.018;-397.899;3.106.672;0
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;09/2020;18.025.973;387.715;6.333.218;-642.852;720.828;381.735;25.206.617;-5.775.090;-3.333.750;-375.627;0;-5.381.099;-14.865.566;10.341.051;3.169.007;2.744.430;-4.350.103;-5.262.035;-1.258.430;2.754.039;1.943.107;-6.013.562;-6.273.547;4.067.504;-42.371;4.025.133;193.642;0;4.218.776;0
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;09/2020;15.858.202;0;1.916.328;675.010;76.015;973.877;19.499.432;-4.710.678;-4.916.376;0;0;-3.670.397;-13.297.451;6.201.982;4.533.761;1.557.004;-5.525.249;-2.546.336;-845.731;990.808;1.625.765;-5.522.490;-5.732.466;469.515;69.332;538.847;1.613.016;-396.622;1.755.241;0
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;09/2020;13.664.773;369.700;3.173.730;-417.038;517.516;276.355;17.585.036;-4.698.180;-3.626.587;-314.000;0;-2.990.687;-11.629.454;5.955.583;2.641.895;1.344.303;-1.710.217;-2.808.431;-815.254;519.191;6.385.529;-7.223.156;-1.666.141;4.289.442;35.225;4.324.667;-103.445;-426.371;3.794.850;0
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;09/2020;8.296.992;0;1.735.645;1.083.259;0;0;11.115.896;-392.497;-7.183.231;0;-32.219;81.841;-7.526.106;3.589.790;133.762;0;-299.027;-49.204;-166.627;6.568.357;239.952;-249.947;6.177.266;9.767.057;2.797;9.769.854;-1.043.373;-17;8.726.464;0
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2020;787.367;0;2.725.714;-253.027;0;14.067;3.274.121;-1.586.505;-1.106.857;0;-248.938;-12.961;-2.955.261;318.860;972.924;26.144;-216.741;-393.121;-95.207;568.950;754.305;-469.122;1.148.132;1.466.992;-56.453;1.410.540;53.612;-434.661;1.029.491;0
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;09/2020;2.212.933;20.129;300.323;497.245;136.295;5.519;3.172.444;-1.721.617;-338.782;-18.226;0;-792.516;-2.871.141;301.303;144.061;209.890;-346.891;-386.980;-104.862;85.514;766.330;-685.085;-318.023;-16.720;3.990;-12.730;353.998;-66.576;274.691;0
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;09/2020;2.228.706;125.735;812.801;-242.241;151.458;41.952;3.118.410;-1.661.879;-305.935;-104.372;0;-299.302;-2.371.488;746.922;368.452;144.047;-696.284;-583.358;-127.762;252.507;911.285;-472.562;-203.676;543.246;10.403;553.649;-100.384;0;453.265;0
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;09/2020;21.431;0;377.910;2.036.209;70.396;0;2.505.944;-88.305;-1.992.635;0;0;-22.003;-2.102.943;403.001;325.416;335;-216.132;-59.153;-39.486;0;24.986;-2.982;32.985;435.986;-179;435.807;-182.991;-5.631;247.184;0
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;09/2020;518.950;10.321;792.140;586.644;0;7.569;1.915.623;-309.084;-486.390;-8.993;-359.242;-24.330;-1.188.039;727.584;291.600;12.484;-195.196;-143.767;-51.799;0;80.106;-59.320;-65.892;661.692;2.285;663.977;-275.979;-32.256;355.741;0
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;09/2020;1.407.243;4.167;146.515;65.675;40.418;53.930;1.717.947;-491.061;-118.376;-4.624;0;-92.899;-706.959;1.010.988;35.963;262.093;-499.432;-339.143;-90.784;87.735;245.912;-537.917;-835.574;175.413;-3.033;172.380;-30.537;-24.014;117.828;0
PAN;31323;b1;S3;C;2;SAO PAULO;SP;09/2020;1.649.999;0;37.364;11.607;738;0;1.699.709;-315.523;-5;0;0;-366.104;-681.631;1.018.077;42.867;74.667;-145.034;-648.443;-65.320;4.757;215.021;-260.584;-782.068;236.009;20.885;256.894;-86.716;0;170.178;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;S3;I;3;SAO PAULO;SP;09/2020;1.185.438;0;118.750;-43.737;423.855;0;1.684.306;-36.321;-1.039.142;0;0;-233.654;-1.309.117;375.189;23.456;1.723;-60.963;-54.971;-18.193;0;565;-167.052;-275.435;99.754;161;99.914;-41.936;-5.938;52.040;0
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;09/2020;958.361;148.139;71.116;299.086;176.747;0;1.653.450;-309.583;-229.049;-108.507;0;-187.291;-834.429;819.021;27.822;31.395;-112.995;-136.931;-48.784;4.779;94.312;-184.619;-325.020;494.000;12.633;506.633;-188.795;-29.686;288.152;0
ABC-BRASIL;41856;b1;S3;C;3;SAO PAULO;SP;09/2020;813.262;0;351.443;91.861;134.413;0;1.390.979;-128.158;-893.379;0;0;-64.548;-1.086.084;304.895;73.627;5.561;-60.566;-38.511;-11.613;1.811;134.857;-331.250;-226.084;78.811;-23;78.788;23.436;-28.749;73.475;0
BMG;30290;b1;S3;C;2;SAO PAULO;SP;09/2020;1.215.707;0;83.996;-63.437;10.090;0;1.246.355;-294.993;-3.886;0;0;-239.412;-538.291;708.065;13.293;3.055;-64.836;-408.387;-32.534;16.925;192.461;-307.957;-587.980;120.084;430;120.514;-13.235;-10.672;96.608;0
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;09/2020;421.830;0;161.972;311.726;312.574;0;1.208.101;-202.603;-510.416;0;0;-77.553;-790.572;417.529;90.193;23.204;-151.521;-211.788;-35.860;1.801;132.172;-284.845;-436.644;-19.115;-6.818;-25.933;6.361;-7.952;-27.524;0
