Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;12/2019;92.652.341;144.562.523;3.021.198;315.017.801;476.481;555.730.344;285.799.218;7.635.011;21.204.200;65.433.094;43.865.815;5.430.380;143.568.500;74.093.158;1.059.191.220;61.823.464;300.119.679;1.421.134.362;2.367.858;143.450.349;1.566.952.569
BB;49906;b1;S1;C;1;BRASILIA;DF;12/2019;70.545.230;180.942.854;29.128.475;224.722.316;8.919.384;514.258.259;416.316.357;16.992.680;75.882.065;5.284.000;26.535.999;18.641;124.713.385;79.397.504;1.134.685.505;961.612;238.301.596;1.373.948.714;92.497;99.240.926;1.473.282.136
CAIXA ECONOMICA FEDERAL;360305;b1;S1;I;1;BRASILIA;DF;12/2019;35.776.001;321.189.306;130.571;167.706.642;11.089.447;535.891.967;155.032.146;48.232.598;38.907;1.541.666;2.057.903;863.136;52.734.211;320.716.525;1.064.374.848;1.073.796;177.633.618;1.243.082.263;0;50.399.483;1.293.481.745
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;12/2019;40.194.880;114.177.799;534.675;217.562.908;528.191;372.998.454;216.681.854;27.019.438;13.149.546;136.043.588;3.390.047;6.695.232;186.297.850;51.676.976;827.655.134;13.838.054;168.679.287;1.010.172.474;303.901;134.850.529;1.145.326.904
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;12/2019;29.208.553;49.039.857;3.878.380;191.282.370;202.720;273.611.879;128.213.425;24.995.265;14.776.877;31.082.966;19.419.513;6.392.127;96.666.747;54.376.610;552.868.662;14.421.891;210.339.148;777.629.701;282.718;72.422.509;850.334.928
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;12/2019;0;0;0;0;7.810.072;7.810.072;38.360.327;0;0;2.499.234;9.152.762;0;11.651.996;210.905.616;268.728.011;157.066;366.092.659;634.977.736;0;104.810.592;739.788.328
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2019;690.825;0;261.935;26.871.598;0;27.824.358;36.831.528;2.419.028;1.734.056;8.992.294;8.986.967;176.404;22.308.749;4.186.989;91.151.623;17.854.121;54.507.744;163.513.488;139.045;21.333.190;184.985.724
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;12/2019;1.363.119;2.802.174;521.059;40.829.173;249.884;45.765.408;34.529.708;508.567;7.762.527;27.397.200;1.722.598;9.192.071;46.582.962;11.607.648;138.485.726;2.695.738;19.685.255;160.866.720;67.566;11.884.374;172.818.660
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;12/2019;245.395;0;1.840.080;14.932.682;0;17.018.157;15.206.092;258.567;1.735.855;25.081.447;4.058.971;897.877;32.032.716;3.578.360;67.835.324;3.009.371;16.041.550;86.886.245;113.095;9.885.881;96.885.221
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;12/2019;0;0;0;0;0;0;0;0;0;0;0;0;0;7.716.812;7.716.812;47.513;76.285.407;84.049.732;0;9.467.355;93.517.087
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;12/2019;5.531.774;0;4.695;14.848.625;158.532;20.543.625;8.741.631;0;33.876;214.003;0;628.235;876.114;17.086.721;47.248.091;6.869.207;28.604.677;82.721.974;47.736;9.511.485;92.281.196
