Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB;49906;b1;S1;C;1;BRASILIA;DF;03/2022;106.208.812;219.330.834;24.506.462;326.573.726;409.320;9.895.501;686.924.656;715.675.382;12.373.537;95.773.676;4.068.871;30.074.976;10.944;142.302.005;64.849.106;1.609.751.148;6.374.836;263.811.366;1.879.937.351;0;142.565.921;2.022.503.271
ITAU;10069;b1;S1;C;2;SAO PAULO;SP;03/2022;158.498.202;183.888.575;3.914.142;498.349.222;862.445;1.079.460;846.592.046;298.620.940;15.639.816;18.753.097;36.241.764;60.286.558;41.137.074;172.058.309;105.649.909;1.422.921.204;87.255.749;344.600.306;1.854.777.259;0;153.474.039;2.008.251.298
CAIXA ECONÔMICA FEDERAL;51626;b1;S1;C;1;BRASILIA;DF;03/2022;40.088.616;359.352.201;147.878;145.805.285;0;16.589.397;561.983.377;267.186.217;24.234.738;1.182.386;1.699.173;2.429.339;0;29.545.635;359.949.732;1.218.664.960;1.609.577;183.077.889;1.403.352.426;0;80.270.446;1.483.622.872
BRADESCO;10045;b1;S1;C;2;OSASCO;SP;03/2022;49.913.617;134.394.503;2.548.073;366.453.137;328.007;957.576;554.594.913;260.594.111;45.822.723;18.604.951;111.006.965;11.372.035;19.067.667;205.874.339;57.814.121;1.078.877.484;19.072.832;206.519.021;1.304.469.338;0;154.248.881;1.458.718.219
SANTANDER;30379;b1;S1;C;3;SAO PAULO;SP;03/2022;41.925.648;62.909.853;4.028.586;287.313.175;0;324.458;396.501.721;113.656.107;37.561.207;16.606.592;31.555.973;35.227.020;8.689.788;129.640.581;81.713.722;721.512.131;36.936.460;146.555.282;905.003.873;0;81.701.757;986.705.630
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;S2;I;1;RIO DE JANEIRO;RJ;03/2022;0;0;255.562;0;0;6.389.985;6.645.547;100.504.904;0;0;1.080.518;7.593.904;1.006.637;9.681.059;143.122.363;259.953.872;912.807;381.302.680;642.169.358;0;142.421.980;784.591.339
BTG PACTUAL;49944;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2022;8.863.475;0;3.090.645;102.663.485;0;458.803;115.076.408;72.539.879;2.195.709;16.238.467;26.833.498;13.712.981;771.536;59.752.191;13.654.932;261.023.410;30.624.629;48.188.637;339.836.676;0;41.573.403;381.410.079
SAFRA;10083;b1;S2;C;2;SAO PAULO;SP;03/2022;2.015.438;4.184.882;862.324;62.477.822;275.068;48;69.815.581;22.988.034;610.934;15.256.557;40.731.535;2.108.108;6.385.473;65.092.607;15.077.789;172.974.012;7.516.310;25.477.063;205.967.385;0;15.321.925;221.289.310
CITIBANK;30403;b1;S2;C;3;SAO PAULO;SP;03/2022;8.719.296;0;355.443;40.353.531;0;171.091;49.599.361;4.725.900;0;0;4.105.288;0;276.528;4.381.816;22.169.308;80.876.384;13.027.354;39.062.297;132.966.036;0;11.008.513;143.974.549
VOTORANTIM;51011;b1;S2;C;2;SAO PAULO;SP;03/2022;518.626;0;1.476.186;20.913.769;0;0;22.908.581;18.866.707;327.184;2.541.135;29.572.095;7.527.997;0;39.968.411;5.288.344;87.032.044;4.259.012;18.994.388;110.285.443;0;12.119.363;122.404.806
XP;52120;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2022;277.172;0;5.596;15.188.075;0;16.013.357;31.484.199;33.377.289;0;1;2.792.034;0;8.575.724;11.367.759;1.406.317;77.635.564;17.664.363;11.367.325;106.667.253;0;6.611.594;113.278.847
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;S3;I;2;PORTO ALEGRE;RS;03/2022;95.787;25.844.704;12.516.070;3.523.771;0;0;41.980.333;24.691.197;0;9.474.630;2.899.374;0;0;12.374.003;18.386.414;97.431.947;459.881;9.587.750;107.479.578;0;2.463.643;109.943.220
BANRISUL;30173;b1;S2;C;1;PORTO ALEGRE;RS;03/2022;3.758.037;11.527.982;508.763;47.766.110;5.056;13.512;63.579.460;13.760.775;728.118;415.770;1.018.666;0;0;2.162.554;2.340.266;81.843.055;546.505;12.328.409;94.717.969;0;8.992.111;103.710.080
CIELO S.A.;1027058;n4;;I;2;BARUERI;SP;03/2022;0;0;0;0;2.444;0;2.444;0;0;0;0;0;0;0;3.897.967;3.900.411;29.281;85.713.622;89.643.314;0;10.170.376;99.813.690
REDECARD INSTITUIÇÃO DE PAGAMENTO S.A.;1425787;n4;S1;I;2;SAO PAULO;SP;03/2022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54.016.317;54.016.317;0;45.469.173;99.485.491
JP MORGAN CHASE;20107;b1;S3;C;3;SAO PAULO;SP;03/2022;762.594;0;176.554;10.603.257;0;1.765.044;13.307.449;9.016.348;0;0;0;0;238.548;238.548;31.311.107;53.873.452;10.367.031;16.078.479;80.318.962;0;7.425.213;87.744.175
BANCO SICOOB;51750;b1;S3;C;2;BRASILIA;DF;03/2022;231.885;11.341.749;49.139.386;3.185.211;0;0;63.898.231;1.179.919;0;41.854;0;0;0;41.854;3.964.600;69.084.604;27;12.317.350;81.401.980;0;2.614.407;84.016.387
BNP PARIBAS;51516;b1;S3;C;3;SAO PAULO;SP;03/2022;1.056.495;0;410.158;7.649.107;0;220.628;9.336.388;4.417.904;0;178.935;2.209.877;0;896.490;3.285.302;14.119.310;31.158.904;10.684.186;33.088.150;74.931.241;0;4.397.436;79.328.676
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;S2;I;1;FORTALEZA;CE;03/2022;2.712.816;993.696;1.965.835;5.836.237;0;2.536.805;14.045.388;2.375.398;0;0;29.353;0;0;29.353;2.202.046;18.652.185;0;36.419.290;55.071.476;0;7.935.020;63.006.496
DAYCOVAL;51987;b1;S3;C;2;SAO PAULO;SP;03/2022;1.286.813;0;586.687;13.369.945;0;18.609;15.262.054;3.606.310;1.520.024;2.391.732;15.187.505;2.254.146;0;21.353.407;7.153.919;47.375.690;1.027.234;7.647.541;56.050.464;0;5.116.549;61.167.013
