Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;09/2023;33.587.827;307.844.424;681.657.662;744.682.720;-51.000.499;693.682.221;7.516.797;311.611;91.110;-167.215;7.752.302;399.584.296;229.197.851;58.389.587;2.411.696.169;91.110;2.411.605.059
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;09/2023;23.806.204;554.606.256;441.299.402;851.610.199;-50.622.758;800.987.441;92.242;625.405;182.881;-4.641;895.887;241.073.318;118.767.965;45.566.623;2.227.003.096;182.881;2.226.820.215
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;09/2023;10.037.666;164.006.669;247.868.037;1.077.587.476;-51.008.808;1.026.578.669;0;0;0;0;0;108.222.007;168.684.459;14.872.060;1.740.269.567;0;1.740.269.567
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;09/2023;17.876.879;236.933.118;376.953.403;525.793.240;-53.104.756;472.688.484;30.147;6.488.736;2.554.998;-43.896;9.029.986;271.065.753;142.639.925;68.103.666;1.595.291.215;2.554.998;1.592.736.217
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;09/2023;13.457.578;136.682.367;265.089.402;421.835.782;-31.804.220;390.031.562;1.196;5.470.340;2.456.400;-12.708;7.915.228;216.811.307;145.052.796;24.412.771;1.199.453.011;2.456.400;1.196.996.611
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;09/2023;38.627;54.381.205;163.829.942;303.672.557;-11.524.148;292.148.409;0;0;0;0;0;20.351.399;186.624.386;1.965.037;719.339.005;0;719.339.005
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;09/2023;2.212.850;72.726.835;185.899.538;85.438.827;-3.962.961;81.475.866;0;0;0;0;0;90.930.589;27.028.769;18.327.594;478.602.039;0;478.602.039
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;09/2023;2.421.590;19.923.520;70.138.088;93.687.613;-4.605.176;89.082.437;15.982;2.148.652;591.918;-8.516;2.748.037;22.809.077;29.151.243;8.262.201;244.536.192;591.918;243.944.275
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;09/2023;4.503.817;32.682.845;63.283.053;13.878.478;-114.076;13.764.401;1;4.200;92;-353;3.941;46.627.830;23.971.375;604.086;185.441.349;92;185.441.257
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;09/2023;1.971.468;13.079.854;101.569.819;20.611.918;-138.772;20.473.146;0;0;0;0;0;29.140.268;7.795.845;2.386.858;176.417.259;0;176.417.259
