Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2023;68.012.954;518.888;57.485.603;-3.549.469;0;6.117.016;128.584.992;-78.781.914;-3.429.865;-59.288;-985.156;-18.287.495;-101.543.718;27.041.274;16.235.936;5.481.291;-11.572.585;-13.201.764;-3.954.998;2.745.254;63.568.716;-61.939.338;-2.637.486;24.403.788;-44.826;24.358.962;-520.795;-6.776.610;17.061.556;0
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2023;63.410.807;119.184;56.846.432;-626.806;267.381;3.848.623;123.865.621;-84.365.825;-3.066.462;-71.651;0;-12.764.853;-100.268.791;23.596.830;9.598.121;4.385.164;-12.068.476;-7.501.693;-2.916.278;3.981.125;29.400.422;-26.239.301;-1.360.916;22.235.914;57.401;22.293.315;-3.326.445;-2.117.158;16.849.712;0
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2023;54.887.395;1.048.791;35.690.995;1.196.334;0;4.834.769;97.658.284;-63.660.208;-2.925.351;-772.432;-1.403.338;-18.939.745;-87.701.074;9.957.210;8.643.560;5.119.979;-10.144.288;-11.184.688;-2.762.757;5.536.588;11.012.806;-10.845.553;-4.624.354;5.332.856;-75.545;5.257.311;3.579.421;-18.498;8.818.233;0
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2023;60.250.256;0;31.045.653;-3.149.980;0;5.047.447;93.193.376;-48.888.595;-15.217.838;0;-85.719;-9.742.001;-73.934.152;19.259.224;9.329.199;2.585.645;-13.541.004;-5.461.554;-2.048.587;1.448.075;4.542.327;-12.780.490;-15.926.390;3.332.834;-233.751;3.099.083;1.930.490;-811.640;4.217.933;0
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2023;41.635.859;999.186;18.425.496;-4.795.301;1.954.153;4.373.846;62.593.240;-36.387.113;-3.523.214;-784.804;0;-13.584.628;-54.279.759;8.313.481;6.760.176;2.623.276;-3.925.983;-7.307.058;-4.814.714;2.181.681;21.053.530;-21.505.082;-4.934.174;3.379.307;65.573;3.444.881;1.986.756;-874.909;4.556.728;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2023;18.256.018;0;13.829.097;-542.320;1.073.207;1.516.382;34.132.385;-18.790.403;-5.176.922;0;0;-1.192.021;-25.159.345;8.973.040;2.804.584;425.216;-1.407.142;-4.587.758;-585.240;1.514.316;28.785.344;-29.509.343;-2.560.022;6.413.017;63.219;6.476.237;-804.254;-1.097.514;4.574.469;0
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2023;24.863.574;0;12.648.498;-4.642.207;41.344;3.544;32.914.752;-2.722.916;-16.806.228;0;0;2.471.328;-17.057.815;15.856.937;223.325;0;-1.230.704;-207.320;-528.464;23.927;1.847.930;-2.632.062;-2.503.369;13.353.568;5.745;13.359.313;-3.821.301;-34.847;9.503.166;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2023;8.516.871;376.070;8.534.890;-1.389.724;41.391;645.527;16.725.025;-11.550.223;-527.471;-300.527;0;-2.245.799;-14.624.020;2.101.004;772.001;291.919;-1.408.935;-1.437.042;-326.642;582.516;7.890.468;-7.550.033;-1.185.748;915.257;74.458;989.715;337.006;0;1.326.721;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;06/2023;8.312.450;0;2.692.097;-161.743;0;1.316.044;12.158.848;-4.090.059;-5.825;0;-14.092;-4.812.165;-8.922.140;3.236.708;3.101.012;160.741;-900.883;-2.938.036;-1.041.591;-3.676;3.959.014;-2.722.044;-385.464;2.851.244;623;2.851.867;-1.134.203;-16.358;1.701.306;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2023;8.076.318;15.146;2.510.051;-1.233.285;39.651;122.633;9.530.514;-5.995.090;-157.699;-10.857;0;-1.777.598;-7.941.244;1.589.270;240.286;384.685;-733.386;-939.592;-227.036;163.189;1.742.478;-1.856.341;-1.225.717;363.553;176.931;540.485;189.975;-118.613;611.847;0
