Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2020;102.202.335;149.605.478;4.719.622;359.797.296;742.638;617.067.370;313.760.500;4.692.795;22.411.429;61.039.783;59.547.908;6.454.038;154.145.953;93.626.197;1.178.600.020;87.933.402;372.113.917;1.638.647.339;3.158.984;135.827.837;1.777.634.159
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2020;71.335.865;181.647.716;34.713.137;234.491.724;9.019.800;531.208.242;496.214.272;14.640.725;72.835.415;732.861;30.716.066;4.190;118.929.258;78.077.480;1.224.429.252;4.809.477;249.326.270;1.478.564.998;91.761;102.385.984;1.581.042.743
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2020;35.937.262;321.106.203;121.329;169.303.468;10.928.816;537.397.078;159.282.189;46.684.734;271.171;1.510.954;2.775.120;854.938;52.096.917;324.449.409;1.073.225.594;1.262.167;185.819.507;1.260.307.268;1.000.000;53.131.194;1.314.438.462
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2020;36.295.353;113.106.478;596.797;252.916.043;612.150;403.526.822;227.336.633;27.427.887;14.059.749;119.232.801;12.250.858;6.893.670;179.864.966;57.337.962;868.066.382;22.933.419;203.744.811;1.094.744.612;274.198;129.607.697;1.224.626.506
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2020;33.720.219;50.184.800;4.404.887;214.781.621;534.887;303.626.414;147.062.835;27.692.177;14.317.770;28.283.182;11.398.276;6.716.597;88.408.002;66.312.210;605.409.461;32.993.798;285.647.982;924.051.241;279.718;74.399.554;998.730.513
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2020;0;0;0;0;7.424.173;7.424.173;9.039.044;0;0;2.524.646;11.694.298;1.926.242;16.145.187;217.371.274;249.979.678;1.207.033;381.676.701;632.863.412;0;85.401.203;718.264.615
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2020;1.171.406;0;271.566;24.274.838;0;25.717.810;55.089.122;2.426.537;1.662.027;8.760.646;11.384.313;159.511;24.393.033;4.889.579;110.089.544;8.138.086;58.342.500;176.570.130;142.082;22.003.711;198.715.923
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2020;1.174.956;3.325.863;892.478;43.538.744;225.284;49.157.324;36.005.271;464.826;8.267.728;25.390.685;2.218.563;6.414.138;42.755.940;17.389.994;145.308.530;5.782.968;20.938.755;172.030.253;63.638;12.263.944;184.357.836
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2020;5.574.737;0;54.704;17.997.379;224.182;23.851.001;7.589.750;0;14.534;215.542;0;402.398;632.474;22.008.015;54.081.241;17.279.336;37.231.078;108.591.655;48.604;9.811.988;118.452.247
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2020;185.534;0;3.875.569;16.962.845;0;21.023.949;16.411.398;304.877;1.629.763;24.720.704;5.249.554;368.334;32.273.232;5.594.108;75.302.687;7.596.367;14.303.478;97.202.531;112.858;10.010.275;107.325.665
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2020;287.570;0;144.643;6.596.682;0;7.028.895;5.341.375;0;0;0;0;407.457;407.457;38.498.921;51.276.648;19.326.645;14.492.209;85.095.502;1.777;5.637.826;90.735.105
