Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;03/2023;117.267.611;175.972.277;6.112.529;619.292.682;5.692.472;741.764;925.079.336;320.602.250;35.519.044;41.319.179;72.860.556;69.004.654;58.021.659;276.725.092;101.998.155;1.624.404.833;84.578.533;412.414.202;2.121.397.568;0;175.028.066;2.296.425.634
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;03/2023;101.126.652;206.768.061;24.135.041;431.367.696;351.956;11.121.141;774.870.548;651.499.785;12.075.309;137.334.828;7.738.215;28.424.722;30.497;185.603.571;61.793.942;1.673.767.846;5.038.004;254.902.268;1.933.708.118;0;159.259.546;2.092.967.664
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;03/2023;39.173.907;349.335.456;1.626.445;197.901.236;0;15.903.227;603.940.271;273.806.563;93.527.071;4.524.384;5.554.139;0;0;103.605.595;392.746.684;1.374.099.112;1.182.546;186.037.901;1.561.319.560;0;87.146.100;1.648.465.659
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;03/2023;46.377.770;128.311.785;1.309.246;413.266.457;940.485;1.039.622;591.245.367;273.229.065;55.852.324;32.730.420;106.845.981;8.810.616;35.178.383;239.417.724;49.166.468;1.153.058.624;24.026.397;200.079.890;1.377.164.911;0;156.238.051;1.533.402.963
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;03/2023;36.627.318;58.649.797;4.664.336;328.635.770;320.192;277.777;429.175.188;115.061.835;35.650.279;28.923.987;37.348.369;15.582.342;22.260.327;139.765.304;82.827.032;766.829.359;23.218.278;194.485.395;984.533.032;0;95.758.378;1.080.291.410
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;03/2023;0;0;603.560;0;0;5.378.468;5.982.028;35.347.038;0;0;0;7.810.180;702.904;8.513.084;80.171.599;130.013.749;0;423.754.453;553.768.203;0;132.053.329;685.821.532
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;03/2023;7.058.201;0;4.938.196;108.363.035;0;287.963;120.647.395;92.327.269;1.910.024;16.763.889;29.649.883;13.442.977;7.336.568;69.103.341;14.548.045;296.626.049;38.123.405;73.016.334;407.765.788;0;48.540.974;456.306.762
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;03/2023;1.938.604;3.558.847;1.403.018;64.517.049;213.106;205;71.630.830;22.124.663;527.248;21.956.637;40.098.727;0;8.466.386;71.048.998;14.234.102;179.038.592;10.585.750;30.494.525;220.118.867;0;23.898.959;244.017.826
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;03/2023;90.775;26.078.231;16.746.396;7.236.480;0;0;50.151.881;36.993.485;0;32.163.851;6.326.373;0;0;38.490.224;24.988.398;150.623.989;489.244;12.438.636;163.551.869;0;3.636.924;167.188.793
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;03/2023;7.160.744;0;419.794;53.067.645;0;190.914;60.839.098;4.553.985;0;0;4.803.107;0;297.086;5.100.193;21.143.071;91.636.347;9.120.697;47.145.195;147.902.240;0;12.352.810;160.255.050
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;03/2023;869.018;0;13.738;20.145.660;0;12.486.775;33.515.191;40.062.169;0;174.774;5.504.651;0;13.381.838;19.061.262;1.209.649;93.848.271;16.291.817;21.644.334;131.784.422;0;9.536.003;141.320.425
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;03/2023;803.633;0;568.961;23.374.897;0;0;24.747.490;20.044.408;465.111;4.426.142;26.899.924;6.163.343;14.587;37.969.108;7.892.324;90.653.330;3.684.409;24.126.645;118.464.384;0;14.058.663;132.523.047
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;C;2;SAO PAULO;SP;03/2023;0;0;0;73.449.465;6.161.326;1.144.042;80.754.833;729.890;0;0;0;0;0;0;275.395;81.760.118;6;39.002.426;120.762.549;0;7.379.862;128.142.412
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;03/2023;1.379.774;0;102.782;13.963.631;0;1.619.384;17.065.571;6.062.362;0;0;0;0;222.015;222.015;36.924.216;60.274.164;32.651.243;17.773.874;110.699.281;0;8.460.782;119.160.063
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;03/2023;3.593.032;11.118.294;3.028.888;49.055.102;5.292;11.440;66.812.048;12.471.179;1.197.305;1.338.374;978.196;0;0;3.513.875;3.724.095;86.521.197;612.325;15.942.757;103.076.279;0;9.477.692;112.553.971
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;03/2023;166.970;11.722.232;67.731.599;3.191.128;65.931;0;82.877.861;3.512.393;0;657.615;0;0;0;657.615;5.267.331;92.315.200;0;15.321.871;107.637.072;0;3.344.865;110.981.936
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;03/2023;0;0;0;0;11.894;0;11.894;0;0;0;0;0;0;0;6.432.720;6.444.614;0;72.161.560;78.606.174;0;21.504.135;100.110.308
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;03/2023;1.797.954;0;1.953.549;14.181.973;0;18.183;17.951.659;6.057.246;1.792.507;2.656.379;16.192.139;2.266.774;0;22.907.800;7.174.675;54.091.380;553.494;7.201.172;61.846.046;0;5.880.754;67.726.800
