Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;12/2022;2.226.497.249;907.171.120;2.055.833.483;1.570.736.144;170.663.766;15.415.686;185.414.703;14,97%;19,93%;2.625;1.003
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;12/2022;2.010.026.526;891.401.674;1.855.875.519;1.585.959.295;154.151.007;16.987.922;178.688.546;16,65%;15,88%;3.993;606
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;12/2022;1.585.408.035;1.013.443.325;1.500.054.958;1.314.209.150;85.353.077;5.506.030;130.417.768;18,41%;8,72%;3.376;934
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;12/2022;1.508.457.402;656.943.552;1.352.727.084;1.139.353.161;155.730.318;6.660.389;144.282.538;14,85%;28,10%;2.898;1.274
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;12/2022;1.081.978.779;491.896.941;987.313.015;740.090.495;94.665.764;5.135.666;89.053.465;13,94%;19,28%;2.597;1.559
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;12/2022;683.777.224;309.210.109;552.430.039;134.656.025;131.347.185;17.127.548;175.535.879;34,57%;1,17%;5;0
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;12/2022;438.448.510;119.733.197;391.885.929;290.380.187;46.562.581;3.831.955;46.453.353;15,08%;28,49%;70;0
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;12/2022;247.374.910;122.176.251;229.019.375;191.359.824;18.355.534;1.064.740;22.332.908;12,76%;36,60%;132;4
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;12/2022;169.663.375;28.722.596;157.875.011;93.963.514;11.788.364;1.617.281;11.092.041;13,76%;2,90%;57;8
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;12/2022;150.456.420;22.101.025;146.897.782;134.804.302;3.558.638;80.185;4.013.831;16,38%;2,27%;7;0
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;;C;2;SAO PAULO;SP;12/2022;136.228.908;56.014.708;130.143.950;86.329.955;6.084.958;1.026.119;*;*%;*%;7;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;12/2022;134.317.934;22.260.538;126.027.508;98.565.523;8.290.426;-154.106;7.981.066;20,39%;2,88%;8;0
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;12/2022;123.583.311;70.765.562;108.932.117;89.088.155;14.651.194;758.602;11.361.496;14,28%;12,17%;9;19
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;12/2022;112.274.241;49.121.869;102.854.464;86.668.235;9.419.777;323.018;9.291.817;17,57%;9,74%;502;128
CIELO IP - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;12/2022;110.244.017;889.089;89.021.969;6.652.891;21.222.048;916.191;NA;NA%;NA%;1;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;12/2022;108.864.437;4.394.541;100.349.253;67.680.599;8.515.184;1.066.570;8.434.785;17,00%;1,03%;9;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;12/2022;102.213.483;21.100.412;98.980.680;86.022.607;3.232.802;179.626;3.156.399;14,93%;8,91%;8;0
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;12/2022;72.745.153;14.280.097;68.582.779;26.276.704;4.162.374;-338.404;5.360.555;15,69%;1,53%;7;0
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;12/2022;70.625.350;48.548.551;64.867.252;56.450.476;5.758.098;634.858;6.752.551;12,86%;16,35%;54;0
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;12/2022;63.167.204;13.413.880;54.171.021;20.613.712;8.996.183;1.313.989;11.035.275;13,72%;2,57%;296;2
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;12/2022;56.122.593;25.433.207;50.915.190;39.629.702;5.207.404;416.937;6.439.379;15,23%;0,51%;15;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;12/2022;47.739.522;29.787.486;42.087.400;34.314.813;5.652.122;507.372;7.102.092;15,63%;0,26%;19;0
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;12/2022;45.945.932;22.667.086;38.775.460;32.465.421;7.170.471;-35.803;5.913.329;24,09%;7,65%;21;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;12/2022;43.625.406;23.669.604;39.419.914;33.921.726;4.205.493;169.953;3.250.585;13,54%;38,48%;37;0
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;12/2022;43.279.783;28.930.014;39.710.603;31.031.995;3.569.180;-1.820.134;3.581.150;14,99%;5,71%;6;1
PAGSEGURO - PRUDENCIAL;1000084813;b1;;C;2;SAO PAULO;SP;12/2022;42.479.393;1.373.983;34.715.163;21.919.008;7.764.230;744.817;*;*%;*%;4;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;12/2022;41.236.844;30.436.117;38.666.306;33.824.391;2.570.538;148.928;3.522.435;14,79%;15,88%;130;102
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;12/2022;39.252.111;7.934.135;32.828.287;16.578.971;6.423.824;351.776;6.129.212;23,72%;4,42%;10;0
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;12/2022;37.483.134;31.862.859;33.819.358;29.434.074;3.663.776;170.344;3.703.633;12,15%;0,19%;3;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;12/2022;36.616.696;7.939.247;34.581.404;33.220.460;2.035.292;147.928;1.857.793;14,96%;10,33%;100;55
BANCO ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;12/2022;36.582.983;17.021.260;33.804.797;30.047.189;2.778.186;-1.193.672;2.535.768;12,84%;6,95%;9;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;12/2022;34.595.899;19.757.320;29.754.518;9.372.649;4.841.381;683.153;4.584.692;12,29%;5,03%;119;0
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;12/2022;34.278.727;311.595;31.431.616;17.318.983;2.847.111;385.268;2.845.230;17,72%;0,89%;4;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;12/2022;32.836.905;1.116.652;28.326.687;14.447.168;4.510.218;452.393;4.510.218;18,53%;1,31%;3;0
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;12/2022;30.867.340;2.401.606;29.463.780;8.093.095;1.403.559;38.690;1.377.889;25,22%;0,44%;2;0
STONE IP - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;12/2022;30.311.958;359.771;24.021.383;4.459.349;6.290.575;83.130;*;*%;*%;3;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;12/2022;27.204.139;4.813.731;24.704.657;9.107.267;2.499.482;152.036;2.446.922;24,24%;0,49%;2;0
MERCADO PAGO IP - PRUDENCIAL;1000084820;n1;;C;2;OSASCO;SP;12/2022;23.595.026;3.339.043;21.676.470;13.350.582;1.918.556;281.925;*;*%;*%;3;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;12/2022;23.371.568;13.845.224;20.561.954;19.576.394;2.809.614;89.886;2.737.405;14,48%;15,14%;44;4
